product_id,product_name,category_id,unit_price,stock_qty
223,Product_223,17,198.26,213
224,Product_224,20,371.18,530
225,Product_225,4,458.47,525
226,Product_226,5,479.76,556
227,Product_227,23,38.35,966
228,Product_228,7,203.32,241
229,Product_229,13,62.31,285
230,Product_230,15,174.47,363
231,Product_231,11,93.14,205
232,Product_232,4,326.96,762
233,Product_233,13,200.25,282
234,Product_234,7,122.4,239
235,Product_235,19,140.31,498
236,Product_236,22,186.57,8
237,Product_237,2,137.38,670
238,Product_238,10,232.09,446
239,Product_239,13,25.83,33
240,Product_240,25,147.08,113
241,Product_241,21,211.49,614
242,Product_242,6,305.36,731
243,Product_243,12,142.77,809
244,Product_244,12,75.26,79
245,Product_245,20,47.34,842
246,Product_246,11,470.86,150
247,Product_247,23,214.15,132
248,Product_248,25,294.77,857
249,Product_249,7,460.4,46
250,Product_250,1,50.55,360
251,Product_251,1,439.56,45
252,Product_252,25,280.28,938
253,Product_253,25,90.77,38
254,Product_254,20,211.52,21
255,Product_255,13,391.03,681
256,Product_256,9,245.38,157
257,Product_257,3,492.79,382
258,Product_258,7,194.6,592
259,Product_259,6,377.29,603
260,Product_260,8,202.56,633
261,Product_261,9,416.29,878
262,Product_262,5,288.85,346
263,Product_263,1,41.12,985
264,Product_264,19,28.04,31
265,Product_265,10,75.59,829
266,Product_266,12,16.7,291
267,Product_267,24,46.93,650
268,Product_268,15,348.94,735
269,Product_269,22,271.83,172
270,Product_270,24,377.46,614
271,Product_271,9,457.45,272
272,Product_272,20,296.72,753
273,Product_273,17,365.8,825
274,Product_274,17,380.97,459
275,Product_275,20,195.15,910
276,Product_276,12,128.13,689
277,Product_277,7,110.47,405
278,Product_278,2,133.21,926
279,Product_279,3,144.62,985
280,Product_280,17,111.54,480
281,Product_281,5,440.33,706
282,Product_282,17,380.93,638
283,Product_283,24,32.98,562
284,Product_284,17,141.65,580
285,Product_285,17,20.87,134
286,Product_286,2,254.1,826
287,Product_287,2,243.34,367
288,Product_288,22,417.37,709
289,Product_289,23,160.81,823
290,Product_290,5,410.03,697
291,Product_291,1,484.31,296
292,Product_292,1,53.32,375
293,Product_293,19,397.99,798
294,Product_294,2,299.08,33
295,Product_295,21,245.22,153
296,Product_296,12,216.06,783
297,Product_297,6,394.49,300
298,Product_298,23,323.29,15
299,Product_299,4,404.47,516
300,Product_300,23,452.54,680
301,Product_301,11,312.46,117
302,Product_302,24,490.43,191
303,Product_303,17,307.96,811
304,Product_304,6,321.96,748
305,Product_305,24,281.86,231
306,Product_306,5,54.59,314
307,Product_307,20,365.93,102
308,Product_308,2,278.25,59
309,Product_309,6,230.95,627
310,Product_310,22,456.13,668
311,Product_311,11,156.0,762
312,Product_312,16,266.57,410
313,Product_313,16,351.84,73
314,Product_314,1,400.27,316
315,Product_315,9,235.08,293
316,Product_316,6,422.62,766
317,Product_317,16,386.77,552
318,Product_318,3,42.46,755
319,Product_319,20,32.47,152
320,Product_320,4,314.19,471
321,Product_321,19,180.23,743
322,Product_322,3,112.47,248
323,Product_323,19,294.03,495
324,Product_324,20,177.37,853
325,Product_325,7,273.26,962
326,Product_326,20,235.46,511
327,Product_327,9,296.54,369
328,Product_328,1,206.15,486
329,Product_329,8,351.86,205
330,Product_330,7,98.23,158
331,Product_331,18,351.29,454
332,Product_332,8,211.71,505
333,Product_333,1,438.42,77
334,Product_334,11,262.47,717
335,Product_335,25,486.82,300
336,Product_336,25,304.95,21
337,Product_337,18,119.69,645
338,Product_338,23,412.68,221
339,Product_339,10,179.09,65
340,Product_340,3,180.33,943
341,Product_341,7,25.58,620
342,Product_342,16,278.87,46
343,Product_343,16,271.87,29
344,Product_344,25,184.44,43
345,Product_345,20,448.17,807
346,Product_346,17,73.09,135
347,Product_347,2,171.75,502
348,Product_348,1,167.58,233
349,Product_349,16,55.22,112
350,Product_350,12,245.76,176
351,Product_351,5,347.01,439
352,Product_352,5,260.71,482
353,Product_353,23,86.92,106
354,Product_354,9,194.87,870
355,Product_355,9,11.27,528
356,Product_356,3,435.47,279
357,Product_357,19,51.41,617
358,Product_358,16,302.67,48
359,Product_359,16,493.27,959
360,Product_360,3,272.93,821
361,Product_361,20,462.78,961
362,Product_362,24,125.7,21
363,Product_363,22,382.38,334
364,Product_364,24,270.32,573
365,Product_365,1,363.05,827
366,Product_366,24,40.55,501
367,Product_367,20,82.39,819
368,Product_368,11,75.23,16
369,Product_369,17,346.71,322
370,Product_370,8,423.78,596
371,Product_371,4,377.31,220
372,Product_372,6,24.93,343
373,Product_373,8,434.94,780
374,Product_374,20,183.53,995
375,Product_375,3,204.61,665
376,Product_376,16,61.39,85
377,Product_377,25,371.33,731
378,Product_378,3,99.32,489
379,Product_379,25,286.34,378
380,Product_380,18,421.95,980
381,Product_381,14,53.71,714
382,Product_382,18,272.31,204
383,Product_383,2,124.28,541
384,Product_384,22,178.03,470
385,Product_385,3,242.25,93
386,Product_386,16,184.0,272
387,Product_387,9,327.92,659
388,Product_388,4,245.0,575
389,Product_389,1,296.26,926
390,Product_390,4,371.04,493
391,Product_391,1,283.29,881
392,Product_392,14,297.4,542
393,Product_393,21,286.58,51
394,Product_394,16,195.6,292
395,Product_395,20,175.35,782
396,Product_396,24,450.83,20
397,Product_397,8,307.7,715
398,Product_398,7,129.73,405
399,Product_399,3,254.14,923
400,Product_400,17,171.87,798
401,Product_401,1,467.51,985
402,Product_402,16,13.69,90
403,Product_403,12,120.41,254
404,Product_404,19,189.02,395
405,Product_405,22,249.03,786
406,Product_406,23,426.9,339
407,Product_407,22,53.06,633
408,Product_408,14,404.87,523
409,Product_409,6,37.27,141
410,Product_410,6,422.73,887
411,Product_411,13,35.3,692
412,Product_412,19,18.94,844
413,Product_413,22,351.51,502
414,Product_414,8,498.66,831
415,Product_415,2,449.34,731
416,Product_416,21,292.24,481
417,Product_417,1,459.52,598
418,Product_418,15,12.6,227
419,Product_419,1,487.78,994
420,Product_420,5,250.47,376
421,Product_421,16,364.22,939
422,Product_422,19,412.22,999
423,Product_423,4,362.04,406
424,Product_424,3,272.17,447
425,Product_425,17,243.54,494
426,Product_426,17,420.91,619
427,Product_427,12,110.49,277
428,Product_428,14,484.32,530
429,Product_429,21,358.37,163
430,Product_430,6,107.76,156
431,Product_431,3,370.76,999
432,Product_432,9,269.62,624
433,Product_433,5,356.54,192
434,Product_434,24,386.21,817
435,Product_435,17,52.77,102
436,Product_436,14,257.99,135
437,Product_437,21,466.69,809
438,Product_438,3,167.11,175
439,Product_439,1,301.0,940
440,Product_440,20,190.92,990
441,Product_441,21,232.59,187
442,Product_442,23,278.82,987
443,Product_443,1,278.97,368
444,Product_444,3,108.85,43
445,Product_445,18,345.44,531
446,Product_446,25,53.06,892
447,Product_447,10,78.02,501
448,Product_448,22,11.33,520
449,Product_449,3,67.18,353
450,Product_450,8,241.85,986
451,Product_451,14,306.99,925
452,Product_452,24,399.2,401
453,Product_453,18,62.28,726
454,Product_454,15,426.86,165
455,Product_455,22,375.53,20
456,Product_456,23,210.17,497
457,Product_457,2,467.14,430
458,Product_458,10,495.56,112
459,Product_459,2,110.45,898
460,Product_460,17,195.82,454
461,Product_461,8,463.96,315
462,Product_462,1,363.58,743
463,Product_463,9,33.57,174
464,Product_464,11,392.94,550
465,Product_465,22,415.69,418
466,Product_466,16,377.75,255
467,Product_467,7,401.77,763
468,Product_468,10,414.32,785
469,Product_469,23,101.34,145
470,Product_470,3,125.49,278
471,Product_471,18,320.54,420
472,Product_472,25,454.85,612
473,Product_473,24,164.94,743
474,Product_474,13,298.27,895
475,Product_475,7,344.66,43
476,Product_476,25,231.45,818
477,Product_477,4,359.75,33
478,Product_478,13,450.84,962
479,Product_479,20,315.81,481
480,Product_480,1,274.49,322
481,Product_481,8,224.98,249
482,Product_482,14,292.97,752
483,Product_483,16,184.13,701
484,Product_484,14,201.83,276
485,Product_485,12,270.61,444
486,Product_486,19,42.64,752
487,Product_487,23,122.22,243
488,Product_488,15,276.0,381
489,Product_489,2,221.45,270
490,Product_490,2,173.08,930
491,Product_491,23,367.97,925
492,Product_492,22,349.92,363
493,Product_493,19,91.7,344
494,Product_494,25,440.53,393
495,Product_495,22,252.76,581
496,Product_496,22,373.32,994
497,Product_497,17,290.84,693
498,Product_498,20,498.87,7
499,Product_499,10,378.68,433
500,Product_500,6,356.42,146
501,Product_501,15,391.5,380
502,Product_502,22,80.13,674
503,Product_503,11,110.23,328
504,Product_504,5,359.89,150
505,Product_505,1,252.05,962
506,Product_506,8,379.77,297
507,Product_507,21,60.43,669
508,Product_508,12,272.88,436
509,Product_509,12,195.62,709
510,Product_510,5,233.93,953
511,Product_511,7,305.94,979
512,Product_512,4,256.12,589
513,Product_513,6,274.53,403
514,Product_514,13,248.32,821
515,Product_515,20,210.39,893
516,Product_516,15,388.22,348
517,Product_517,3,15.98,968
518,Product_518,23,303.24,144
519,Product_519,8,287.1,191
520,Product_520,20,360.93,809
521,Product_521,16,303.52,65
522,Product_522,13,415.13,943
523,Product_523,18,479.95,384
524,Product_524,10,177.84,714
525,Product_525,19,121.4,811
526,Product_526,17,217.56,444
527,Product_527,24,151.09,323
528,Product_528,19,311.33,306
529,Product_529,23,456.81,348
530,Product_530,5,78.17,15
531,Product_531,21,59.39,66
532,Product_532,23,135.45,849
533,Product_533,9,365.79,230
534,Product_534,12,300.55,157
535,Product_535,21,60.08,715
536,Product_536,1,460.19,568
537,Product_537,1,397.14,776
538,Product_538,15,21.28,575
539,Product_539,2,329.17,588
540,Product_540,22,387.91,664
541,Product_541,16,193.47,865
542,Product_542,25,43.77,579
543,Product_543,8,47.89,314
544,Product_544,13,61.08,889
545,Product_545,21,421.82,247
546,Product_546,1,456.24,497
547,Product_547,16,70.18,370
548,Product_548,7,125.59,334
549,Product_549,5,91.11,111
550,Product_550,22,101.3,230
551,Product_551,23,420.37,829
552,Product_552,3,172.75,222
553,Product_553,12,162.61,941
554,Product_554,16,121.42,757
555,Product_555,19,307.87,510
556,Product_556,5,195.86,263
557,Product_557,22,374.68,892
558,Product_558,25,110.73,778
559,Product_559,14,396.02,521
560,Product_560,5,305.82,777
561,Product_561,15,65.99,58
562,Product_562,17,213.11,51
563,Product_563,14,433.12,731
564,Product_564,20,462.25,693
565,Product_565,5,238.19,525
566,Product_566,12,245.61,103
567,Product_567,16,460.04,24
568,Product_568,16,297.66,894
569,Product_569,21,26.09,757
570,Product_570,7,457.25,577
571,Product_571,4,131.63,895
572,Product_572,1,293.04,494
573,Product_573,5,91.1,423
574,Product_574,23,26.6,694
575,Product_575,10,162.62,854
576,Product_576,22,392.44,66
577,Product_577,5,146.02,149
578,Product_578,4,117.85,220
579,Product_579,2,114.21,7
580,Product_580,20,262.44,164
581,Product_581,10,488.02,743
582,Product_582,19,234.9,785
583,Product_583,1,283.08,124
584,Product_584,24,431.71,897
585,Product_585,5,272.18,93
586,Product_586,13,100.39,333
587,Product_587,4,156.8,584
588,Product_588,16,161.87,914
589,Product_589,24,204.69,361
590,Product_590,16,219.13,614
591,Product_591,23,401.89,271
592,Product_592,2,181.2,621
593,Product_593,17,239.43,956
594,Product_594,20,316.24,327
595,Product_595,24,195.09,639
596,Product_596,12,419.92,992
597,Product_597,18,297.85,545
598,Product_598,3,154.08,653
599,Product_599,1,359.89,199
600,Product_600,1,268.55,925
